id,no_unit,nama_unit,aset,cap_on,aset_desc,acq_val,bulan,depre
2018,0,0,150173,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-05-31,-41873675.0
2019,0,0,150174,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-05-31,-41873675.0
2020,KB 1582 VA,Mobil KB 1582 VA,150176,2014-10-27,Toyota New Fortuner 2.5 G A/T 4X4 DIESEL Thn 2014,474050064,2024-05-31,-474050064.0
2021,0,0,150177,2014-11-21,Trailer Tangki Air Semprot Kapasitas 5 Ton,46894179,2024-05-31,-46894179.0
2022,BL 01,0,150178,2016-07-11,Backhoe Loader,1005126216,2024-05-31,-994675015.0
2023,0,0,150179,2008-03-02,TANGKI SOLAR KAPASITAS 6000 LITER & AKSESORIS,13750000,2024-05-31,-13750000.0
2024,0,0,150180,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-05-31,-8650000.0
2025,0,0,150181,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-05-31,-8650000.0
2026,0,0,150182,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-05-31,-8650000.0
2027,0,0,150183,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-05-31,-8650000.0
2028,0,0,150184,2009-09-03,Motor Kawasaki KLX,24100000,2024-05-31,-24100000.0
2029,0,0,150185,2009-09-03,Motor Kawasaki KLX,24100000,2024-05-31,-24100000.0
2030,0,0,150186,2014-01-29,Toyota Hilux DC G M/T 2.5 Diesel Silver Metalic,351029380,2024-05-31,-351029380.0
2031,0,0,150187,2014-01-29,Ban Luar 31 - 10.5 R15 D673,5235523,2024-05-31,-5235523.0
2032,0,0,150188,2014-01-29,Kaca Film Toyota Hilux Double Cabin V-Kool,6682123,2024-05-31,-6682123.0
2033,KB 8233 VA,Mobil KB 8233 VA,150192,2018-11-10,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170287/0505089,307636364,2024-05-31,-214704567.0
2034,KB 8235 VA,Mobil KB 8235 VA,150193,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170284/4513152,307636364,2024-05-31,-214704567.0
2035,KB 8234 VA,Mobil KB 8234 VA,150194,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170289/0505399,307636364,2024-05-31,-214704567.0
2036,WT 19,Wheel Tractor 19,150195,2018-12-10,TRACTOR JD NO.RK/MSN 15XHJ0036305/PE4045E009693,598000000,2024-05-31,-411124974.0
2037,WT 20,Wheel Tractor 20,150196,2018-12-10,TRACTOR JD NO.RK/MSN 15XEJ0036306/PE4045E009753,598000000,2024-05-31,-411124974.0
2038,WT 21,Wheel Tractor 21,150197,2018-12-10,TRACTOR JD NO.RK/MSN 15XCJ0036307/PE4045E009694,598000000,2024-05-31,-411124974.0
2039,DT 07,Dump Truck 07,150198,2019-01-01,Hino Dutro No.R/Msn :MJECIJG43J5173895/W04DTR63691,332638545,2024-05-31,-225224021.0
2040,DT 06,Dump Truck 06,150199,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173894/W04DTRR63650,332638545,2024-05-31,-225224021.0
2041,DT 05,Dump Truck 05,150200,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173893/W04DTRR63649,332638545,2024-05-31,-225224021.0
2042,DT 04,Dump Truck 04,150201,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173892/W04DTRR63648,332638545,2024-05-31,-225224021.0
2043,BL 03,Backho Loader 03,150202,2019-01-01,Backhoe Loader 3DX : HAR3DXSUAJ1609822/H00195772,985000000,2024-05-31,-666927057.0
2044,BL 04,Backho Loader 04,150203,2019-01-01,Backhoe Loader 3DX : HAR3DXSUEJ1609906/H00199901,985000000,2024-05-31,-666927057.0
2045,0,0,150204,2019-01-02,Tipping Trailer 9.00-20,228000000,2024-05-31,-154375000.0
2046,KB 8417 VA,Mobil KB 8417 VA,150205,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN XK1208532/4635480,457761800,2024-05-31,-290869474.0
2047,KB 8419 VA,Mobil KB 8419 VA,150206,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 4K1120964/4642261,457761800,2024-05-31,-290869474.0
2048,KB 8418 VA,Mobil KB 8418 VA,150207,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 7K1120991/4645194,438261800,2024-05-31,-278478849.0
2049,DT 12,Dump Truck 12,150208,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182412/W04DTRR72303,344181818,2024-05-31,-197187529.0
2050,DT 11,Dump Truck 11,150209,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182411/W04DTRR72302,344181818,2024-05-31,-197187529.0
2051,DT 10,Dump Truck 10,150210,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182410/W04DTRR72301,344181818,2024-05-31,-197187529.0
2052,DT 09,Dump Truck 09,150211,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182409/W04DTRR72295,344181818,2024-05-31,-197187529.0
2053,DT 08,Dump Truck 08,150212,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182408/W04DTRR72294,344181819,2024-05-31,-197187529.0
2054,DT 14,Dump Truck 14,150213,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182414/W04DTRR72305,344181819,2024-05-31,-197187529.0
2055,DT 13,Dump Truck 13,150214,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182413/W04DTRR72304,344181819,2024-05-31,-197187529.0
2056,WL 01,Wheel Loader 01,150215,2019-11-28,WHEEL LOADER 924K CL2 KW402112 PO 1277,2000000000,2024-05-31,-1145833360.0
2057,Exca 06,Excavator 06,150216,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10284 PO 1277,1091000000,2024-05-31,-625052110.0
2058,Exca 05,Excavator 05,150217,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10287 PO 1277,1091000000,2024-05-31,-625052110.0
2059,Exca 04,Excavator 04,150218,2019-11-28,EXCAVATOR 20T (320) YBP00998 PO 1277,1600300000,2024-05-31,-916838515.0
2060,CP 02,Compactor 02,150219,2019-11-28,COMPACTOR CS11GC RK800289 PO 1277,856000000,2024-05-31,-490416640.0
2061,MG 03,Motor Greader 03,150220,2019-11-28,MOTOR GRADER 120K SZN20204 PO 1277,2061500000,2024-05-31,-1181067735.0
2062,KB 8641 VA,Mobil KB 8641 VA,150221,2020-04-08,Toyota Hilux Double Cabin 2.4G MR0KB8CD1-L1210817,412643848,2024-05-31,-214918694.0
2063,KB 8638 VA,Mobil KB 8638 VA,150222,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210891,412643848,2024-05-31,-214918694.0
2064,KB 8639 VA,Mobil KB 8639 VA,150223,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210888,412643848,2024-05-31,-214918694.0
2065,Exca 07,Excavator 07,150224,2020-06-08,EXCAVATOR 20T NO. SERI: YBP01063 PO 0477,1670000000,2024-05-31,-835000026.0
2066,MG 04,Motor Greader 04,150225,2020-06-08,MOTOR GRADER 120K NO. SERI: E9600207 PO 0477,2308000000,2024-05-31,-1153999974.0
2067,CP 03,Compactor 03,150226,2020-06-08,COMPACTOR CS11GC NO. SERI: RK800558 PO 0477,900000000,2024-05-31,-450000000.0
2068,FOR 01,Forklift 01,150227,2020-06-08,FORKLIFT DP30ND NO. SERI: CT14E-20721 PO 0477,301000000,2024-05-31,-150499974.0
2069,DAMKAR 02,Damkar 02,150228,2020-06-24,Truk Hino Dutro 130HD MJEC1JG43L5187994 PO 0056,363909090,2024-05-31,-181954518.0
2070,DT 15,Dump Truck 15,150229,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188597 PO 0480,369981818,2024-05-31,-184990938.0
2071,DT 16,Dump Truck 16,150230,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188600 PO 0480,369981818,2024-05-31,-184990938.0
2072,DT 17,Dump Truck 17,150231,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188602 PO 0480,369981818,2024-05-31,-184990938.0
2073,DT 18,Dump Truck 18,150232,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188603 PO 0480,369981818,2024-05-31,-184990938.0
2074,DT 19,Dump Truck 19,150233,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188604 PO 0480,369981818,2024-05-31,-184990938.0
2075,TR 01,Tronton 01,150234,2020-07-15,Tronton Hino FM 260 JW MJEC1JG43L5188603 PO 0406,1271418182,2024-05-31,-622465175.0
2076,Exca 08,Excavator Mini 08,150235,2020-11-26,EXCAVATOR CAT 305.5E2 MINI 7LD2957 PO 1124,620000000,2024-05-31,-277708360.0
2077,CP 04,Compactor 04,150236,2021-03-27,Sakai Vibrating Roller SV526D ID 25V70-10269 PO176,860000000,2024-05-31,-349374999.99999946
2078,MG 05,Motor Greader 05,150237,2021-04-30,Komatsu Motor Grader GD535-5 J10185 PO 0187,2050000000,2024-05-31,-811458333.3333344
2079,Exca 09,Excavator Mini 09,150238,2021-04-28,Mini Excavator Catterpillar M13C00305.5E2 PO 0174,628100000,2024-05-31,-248622916.66666692
2080,WT 22,Wheel Tractor 22,150239,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO12 PO 0102,265000000,2024-05-31,-102135416.66666672
2081,WT 23,Wheel Tractor 23,150240,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO14 PO 0102,265000000,2024-05-31,-102135416.66666672
2082,0,0,150241,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-05-31,-20427083.333333302
2083,0,0,150242,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-05-31,-20427083.333333302
2084,WT 22,Wheel Tractor 22,150243,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-05-31,-63593750.0
2085,WT 23,Wheel Tractor 23,150244,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-05-31,-63593750.0
2086,BL 05,Backho Loader 05,150245,2021-05-12,Backhoe Loader JCB 3DX-4T-CM H00291096 PO 0175,1000000000,2024-05-31,-385416666.66666615
2087,BIN 01,BIN System 01,150246,2021-06-21,Truck Hino Dutro 130 HD MJEC1JG43L5191023 PO 0017,481818181,2024-05-31,-180681817.87500024
2088,BIN 01,BIN System 01,150247,2021-06-21,Bak Bin System Incl. Transport PO 0020,215306120,2024-05-31,-80739794.99999988
2089,KB 8890 VA,Mobil KB 8890 VA,150248,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110752 PO 0327,318500000,2024-05-31,-119437499.99999988
2090,KB 8892 VA,Mobil KB 8892 VA,150249,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110735 PO 0327,318500000,2024-05-31,-119437499.99999988
2091,KB 8891 VA,Mobil KB 8891 VA,150250,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB8-M0110793 PO 0327,318500000,2024-05-31,-119437499.99999988
2092,DT 21,Dump Truck 21,150251,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035075 PO721,420436364,2024-05-31,-140145454.66666687
2093,DT 22,Dump Truck 22,150252,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035076 PO721,420436364,2024-05-31,-140145454.66666687
2094,DT 23,Dump Truck 23,150253,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035078 PO721,420436364,2024-05-31,-140145454.66666687
2095,DT 20,Dump Truck 20,150254,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035054 PO721,420436364,2024-05-31,-140145454.66666687
2096,Exca 10,Excavator 10,150255,2022-02-11,Excavator CAT 313D2 CAT-MFX11679 LKR00254 PO 1395,1210000000,2024-05-31,-352916666.66666704
2097,Exca 11,Excavator 11,150256,2022-02-11,Excavator CAT 313D2 CAT-MFX11678 LKR00256 PO 1395,1210000000,2024-05-31,-352916666.66666704
2098,Exca 12,Excavator Mini 12,150257,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216651 PO 1396,668500000,2024-05-31,-188015625.00000015
2099,Exca 13,Excavator Mini 13,150258,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216656 PO 1396,668500000,2024-05-31,-188015625.00000015
2100,Exca 14,Excavator Mini 14,150259,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216682 PO 1396,668500000,2024-05-31,-188015625.00000015
2101,Exca 15,Excavator Mini 15,150260,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216693 PO 1396,668500000,2024-05-31,-188015625.00000015
2102,WT 24,Wheel Tractor 24,150261,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000056 PO 0009,440000000,2024-05-31,-123750000.00000016
2103,WT 25,Wheel Tractor 25,150262,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000053 PO 0009,440000000,2024-05-31,-123750000.00000016
2104,WT 26,Wheel Tractor 26,150263,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000047 PO 0009,440000000,2024-05-31,-123750000.00000016
2105,WT 27,Wheel Tractor 27,150264,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000046 PO 0009,440000000,2024-05-31,-123750000.00000016
2106,0,0,150265,2022-03-25,Honda CB150X STD MH1KCE118NK006042 PO 0294,30359182,2024-05-31,-17077039.875000007
2107,0,0,150266,2022-03-25,Honda CB150X STD MH1KCE11XN005510 PO 0294,30359182,2024-05-31,-17077039.875000007
2108,0,0,150267,2022-03-25,Honda CB150X STD MH1KCE113NK006588 PO 0294,30359182,2024-05-31,-17077039.875000007
2109,KB 8167 VB,Mobil KB 8167 VB,150268,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD7-N1130070 PO 0150,422500000,2024-05-31,-114427083.3333332
2110,KB 8166 VB,Mobil KB 8166 VB,150269,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD9-N1215007 PO 0150,422500000,2024-05-31,-114427083.3333332
2111,KB 8183 VB,Mobil KB 8183 VB,150270,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD3-N1130308 PO 0150,422500000,2024-05-31,-114427083.3333332
2112,BIN 02,BIN System 02,150271,2022-04-07,Bak Bin System (No. 6) PO 1169,44400000,2024-05-31,-12025000.0
2113,BIN 02,BIN System 02,150272,2022-04-07,Bak Bin System (No. 7) PO 1169,44400000,2024-05-31,-12025000.0
2114,BIN 02,BIN System 02,150273,2022-04-07,Bak Bin System (No. 8) PO 1169,44400000,2024-05-31,-12025000.0
2115,BIN 02,BIN System 02,150274,2022-04-07,Bak Bin System (No. 9) PO 1169,44400000,2024-05-31,-12025000.0
2116,BIN 02,BIN System 02,150275,2022-04-07,Bak Bin System (No. 10) PO 1169,44400000,2024-05-31,-12025000.0
2117,BIN 03,BIN System 03,150276,2022-04-07,Bak Bin System (No. 11) PO 1169,44400000,2024-05-31,-12025000.0
2118,BIN 03,BIN System 03,150277,2022-04-07,Bak Bin System (No. 12) PO 1169,44400000,2024-05-31,-12025000.0
2119,BIN 03,BIN System 03,150278,2022-04-07,Bak Bin System (No. 13) PO 1169,44400000,2024-05-31,-12025000.0
2120,BIN 03,BIN System 03,150279,2022-04-07,Bak Bin System (No. 14) PO 1169,44400000,2024-05-31,-12025000.0
2121,BIN 03,BIN System 03,150280,2022-04-07,Bak Bin System (No. 15) PO 1169,44400000,2024-05-31,-12025000.0
2122,BIN 03,BIN System 03,150281,2022-04-07,Mitsubishi FE SHD-X 136PS MHMFE75PRMK039127 PO1168,530472727,2024-05-31,-143669696.89583334
2123,BIN 02,BIN System 02,150282,2022-04-07,Mitsubishi FE SHD-X 136PS MHMFE75PRMK039126 PO1168,530472727,2024-05-31,-143669696.89583334
2124,DT 24,Dump Truck 24,150283,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041190 PO 0010,443163636,2024-05-31,-120023484.75
2125,DT 25,Dump Truck 25,150284,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041211 PO 0010,443163636,2024-05-31,-120023484.75
2126,DT 26,Dump Truck 26,150285,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041218 PO 0010,443163636,2024-05-31,-120023484.75
2127,DT 27,Dump Truck 27,150286,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041220 PO 0010,443163636,2024-05-31,-120023484.75
2128,DT 28,Dump Truck 28,150287,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041223 PO 0010,443163636,2024-05-31,-120023484.75
2129,DT 29,Dump Truck 29,150288,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041224 PO 0010,443163636,2024-05-31,-120023484.75
2130,DT 30,Dump Truck 30,150289,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041231 PO 0010,443163636,2024-05-31,-120023484.75
2131,DT 31,Dump Truck 31,150290,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041232 PO 0010,443163636,2024-05-31,-120023484.75
2132,DT 32,Dump Truck 32,150291,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041233 PO 0010,443163636,2024-05-31,-120023484.75
2133,DT 33,Dump Truck 33,150292,2022-04-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041235 PO 0010,443163636,2024-05-31,-120023484.75
2134,WT 24,Wheel Tractor 24,150293,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-05-31,-24239583.33333334
2135,WT 25,Wheel Tractor 25,150294,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-05-31,-24239583.33333334
2136,WT 26,Wheel Tractor 26,150295,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-05-31,-24239583.33333334
2137,WT 27,Wheel Tractor 27,150296,2022-04-20,Scissor Lift Trailer Kap. 3 Ton PO 0177,89500000,2024-05-31,-24239583.33333334
2138,WT 28,Wheel Tractor 28,150297,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100026 PO 0395,490000000,2024-05-31,-127604166.6666667
2139,WT 29,Wheel Tractor 29,150298,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100027 PO 0395,490000000,2024-05-31,-127604166.6666667
2140,WT 30,Wheel Tractor 30,150299,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100028 PO 0395,490000000,2024-05-31,-127604166.6666667
2141,WT 31,Wheel Tractor 31,150300,2022-05-14,Wheel Tractor Kioti PX1002 100HP XW8100029 PO 0395,490000000,2024-05-31,-127604166.6666667
2142,DT 34,Dump Truck 34,150301,2022-05-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041959 PO 0323,444349550,2024-05-31,-115716028.64583346
2143,DT 35,Dump Truck 35,150302,2022-05-20,Mitsubishi FE SHD-X136PS MHMFE75PRNK041960 PO 0323,444349550,2024-05-31,-115716028.64583346
2144,WT 28,Wheel Tractor 28,150303,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-05-31,-19531250.0
2145,WT 29,Wheel Tractor 29,150304,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-05-31,-19531250.0
2146,WT 30,Wheel Tractor 30,150305,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-05-31,-19531250.0
2147,WT 31,Wheel Tractor 31,150306,2022-05-20,Trailer Kapasitas 4-5 Ton PO 0454,75000000,2024-05-31,-19531250.0
2148,KB 8324 VB,Mobil KB 8324 VB,150307,2022-05-18,Toyota Hilux DC 2.4 MR0KB8CD6-N1132067 PO 0158,432725225,2024-05-31,-112688860.67708346
2149,KB 8305 VB,Mobil KB 8305 VB,150308,2022-05-18,Toyota Hilux DC 2.4 MR0KB8CDX-N1131925 PO 0158,432725225,2024-05-31,-112688860.67708346
2150,0,0,150309,2022-06-06,Honda CB150 Verza CW MH1KCO215N168986 PO 0123,20331595,2024-05-31,0.0
2151,0,0,150310,2022-06-06,Honda CB150 Verza CW MH1KCO217N168231 PO 0123,20331595,2024-05-31,0.0
2152,0,0,150311,2022-06-06,Honda CB150 Verza CW MH1KCO215N168262 PO 0123,20331595,2024-05-31,0.0
2153,0,0,150312,2022-06-06,Honda CB150 Verza CW MH1KCO213N170168 PO 0123,20331595,2024-05-31,0.0
2154,Exca 16,Excavator 16,150313,2022-06-20,Excavator 313D2LGP CAT0313DELKR00332 PO 0343,1200000000,2024-05-31,-300000000.0
2155,Exca 17,Excavator 17,150314,2022-06-20,Excavator 313D2LGP CAT0313DTLKR00334 PO 0343,1200000000,2024-05-31,-300000000.0
2156,BL 06,Backho Loader 06,150315,2022-06-16,Backhoe Loader 3DX Plus CM HAR3DXSULN3130375 PO342,1050000000,2024-05-31,-262500000.0
2157,BL 07,Backho Loader 07,150316,2022-06-16,Backhoe Loader 3DX Plus CM HAR3DXSULN3130371 PO342,1050000000,2024-05-31,-262500000.0
2158,MG 06,Motor Greader 06,150317,2022-07-13,Motor Grader 120NG E9600954 PO 0348,2415000000,2024-05-31,-578593750.0
2159,Exca 18,Excavator Mini 18,150318,2022-07-13,Excavator Mini 305.5E2 WE216887 PO 0345,680000000,2024-05-31,-162916666.6666667
2160,Exca 19,Excavator Mini 19,150319,2022-07-13,Excavator Mini 305.5E2 WE216892 PO 0345,680000000,2024-05-31,-162916666.6666667
2161,Exca 20,Excavator Mini 20,150320,2022-07-13,Excavator Mini 305.5E2 WE216913 PO 0345,680000000,2024-05-31,-162916666.6666667
2162,Exca 21,Excavator Mini 21,150321,2022-07-13,Excavator Mini 305.5E2 WE216914 PO 0345,680000000,2024-05-31,-162916666.6666667
2163,Exca 22,Excavator Mini 22,150322,2022-07-13,Excavator Mini 305.5E2 WE216915 PO 0345,680000000,2024-05-31,-162916666.6666667
2164,Exca 23,Excavator Mini 23,150323,2022-07-13,Excavator Mini 305.5E2 WE216916 PO 0345,680000000,2024-05-31,-162916666.6666667
2165,CL 01,Crawler 01,150324,2022-07-12,Crawler Dump Artrac 2000D C13606570A PO 0381,267000000,2024-05-31,-63968750.0
2166,CL 02,Crawler 02,150325,2022-07-12,Crawler Dump Artrac 2000D C25501359A PO 0381,267000000,2024-05-31,-63968750.0
2167,DT 36,Dump Truck 36,150326,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042232 PO 0349,441466667,2024-05-31,-105768055.63541678
2168,DT 37,Dump Truck 37,150327,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042290 PO 0349,441466667,2024-05-31,-105768055.63541678
2169,DT 38,Dump Truck 38,150328,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK043243 PO 0349,441466667,2024-05-31,-105768055.63541678
2170,DT 39,Dump Truck 39,150329,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK043242 PO 0349,441466667,2024-05-31,-105768055.63541678
2171,DT 40,Dump Truck 40,150330,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042369 PO 0349,441466667,2024-05-31,-105768055.63541678
2172,DT 41,Dump Truck 41,150331,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042376 PO 0349,441466667,2024-05-31,-105768055.63541678
2173,DT 42,Dump Truck 42,150332,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042390 PO 0349,441466667,2024-05-31,-105768055.63541678
2174,DT 43,Dump Truck 43,150333,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042393 PO 0349,441466667,2024-05-31,-105768055.63541678
2175,DT 44,Dump Truck 44,150334,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042398 PO 0349,441466667,2024-05-31,-105768055.63541678
2176,DT 45,Dump Truck 45,150335,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042402 PO 0349,441466667,2024-05-31,-105768055.63541678
2177,KB 8420 VB,Mobil KB 8420 VB,150336,2022-08-04,Ambulance Toyota Hilux 2.4 MR0DB8CB7M0111093 PO546,476700000,2024-05-31,-109243750.0
2178,KB 8449 VB,Mobil KB 8449 VB,150337,2022-09-19,Toyota Hilux Single Cabin MR0DB8CB9-N0112067 PO548,357180180,2024-05-31,-78133164.375
2179,KB 8461 VB,Mobil KB 8461 VB,150338,2022-09-19,Toyota Hilux Single Cabin MR0DB8CB6-N0112138 PO555,357180180,2024-05-31,-78133164.375
2180,KB 1923 VB,Mobil KB 1923 VB,150339,2022-09-19,Toyota Fortuner 2.8 VRZ MHFBA3FS4-N1047649 PO 0512,648756757,2024-05-31,-141915540.59375006
2181,CP 05,Compactor 05,150340,2022-10-19,Compactor CAT CS10GC/Sun Canopy T8F00406 PO 0346,840000000,2024-05-31,-175000000.0
2182,KB 8475 VB,Mobil KB 8475 VB,150341,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD7-N1135043 PO547,431891892,2024-05-31,-85478603.625
2183,KB 8478 VB,Mobil KB 8478 VB,150342,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD7-N1134989 PO550,431891892,2024-05-31,-85478603.625
2184,KB 8476 VB,Mobil KB 8476 VB,150343,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD0-N1135160 PO551,431891892,2024-05-31,-85478603.625
2185,KB 8477 VB,Mobil KB 8477 VB,150344,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD0-N1134638 PO552,431891892,2024-05-31,-85478603.625
2186,BD 04,Buldozer 04,150345,2022-12-05,Komatsu Bulldozer D68E-SS-12E0/S1 J20825 PO 0329,2935000000,2024-05-31,-550312500.0000001
2187,CL 03,Crawler 03,150346,2022-12-23,Crawler Dump Artrac 2000D C22904267 PO 0381,267000000,2024-05-31,-50062500.0
2188,CL 04,Crawler 04,150347,2022-12-23,Crawler Dump Artrac 2000D C22904268 PO 0381,267000000,2024-05-31,-50062500.0
2189,KB 8625 VB,Mobil KB 8625 VB,150348,2022-12-23,Toyota Hilux Double Cabin MR0KB8CD4-N1137154 PO553,439729730,2024-05-31,-82449324.37500006
2190,Exca 24,Excavator 24,150349,2023-04-01,Excavator 323GCHEX CAT00323EFJM10674 PO 0258,2090400000,2024-05-31,-304850000.0
2191,KB 8626 VB,Mobil KB 8626 VB,150350,2023-07-24,Toyota Hilux Double Cabin MR0KB8CD9-N1137599 PO554,471729730,2024-05-31,-54052364.89583331
2192,BD 05,Buldozer Mini 05,150351,2023-09-20,Komatsu Mini Bulldozer D31EX-22 SAAAD95LE-5 PO 982,1490000000,2024-05-31,-139687499.99999997
2193,0,0,150358,2023-12-22,Compactor CAT CS 533E TJL-01101 No. 3054,150000000,2024-05-31,-9375000.0
2194,MG 02 PT. PAM,Motor Greader 02 PT. PAM,150359,2023-12-22,Motor Grader Caterpillar 120K PSZN-00568 KHX:32420,250000000,2024-05-31,-15625000.000000004
2195,Exca 11 PT. PAM,Excavator Mini 11 PT. PAM,150360,2023-12-22,Excavator Hitachi L3730 AFA90A00022652,481250000,2024-05-31,-30078125.000000007
2196,Exca 12 PT. PAM,Excavator Mini 12 PT. PAM,150361,2023-12-22,Excavator Hitachi LN3749 AFA90P00022658,495625000,2024-05-31,-30976562.499999996
2197,Exca 13 PT. PAM,Excavator Mini 13 PT. PAM,150362,2023-12-22,Excavator Hitachi N4287 AFA90L00022667,495625000,2024-05-31,-30976562.499999996
2198,BD 04 PT. PAM,Buldozer Mini 04 PT. PAM,150363,2023-12-22,Bulldozer CAT D1 XL XKF00242 D3600597,1114010417,2024-05-31,-69625651.06249999
2199,QT 01,Quick Tractor 01,150364,2024-05-28,Quick Tractor QT-16E  SL B2300153/KIAPJ2065,128558559,2024-05-31,-1339151.65625
